2022-02-17 오전 11:55:45 | 수집 작업을 시작합니다.
2022-02-17 오전 11:55:47 | 2022-02-17 11:00 미세먼지 데이터를 수집합니다.
2022-02-17 오후 12:05:47 | 2022-02-17 12:00 미세먼지 데이터를 수집합니다.
2022-02-17 오후 1:05:50 | 2022-02-17 13:00 미세먼지 데이터를 수집합니다.
2022-02-17 오후 2:05:53 | 2022-02-17 14:00 미세먼지 데이터를 수집합니다.
2022-02-17 오후 3:05:57 | 2022-02-17 15:00 미세먼지 데이터를 수집합니다.
2022-02-17 오후 4:06:00 | 2022-02-17 16:00 미세먼지 데이터를 수집합니다.
2022-02-17 오후 5:06:03 | 2022-02-17 17:00 미세먼지 데이터를 수집합니다.
2022-02-17 오후 6:06:15 | 2022-02-17 18:00 미세먼지 데이터를 수집합니다.
2022-02-17 오후 7:06:18 | 2022-02-17 19:00 미세먼지 데이터를 수집합니다.
2022-02-17 오후 8:06:20 | 2022-02-17 20:00 미세먼지 데이터를 수집합니다.
2022-02-17 오후 9:06:23 | 2022-02-17 21:00 미세먼지 데이터를 수집합니다.
2022-02-17 오후 10:06:25 | 2022-02-17 22:00 미세먼지 데이터를 수집합니다.
2022-02-17 오후 11:06:27 | 2022-02-17 23:00 미세먼지 데이터를 수집합니다.
2022-02-18 오전 12:06:30 | 2022-02-17 24:00 미세먼지 데이터를 수집합니다.
2022-02-18 오전 1:06:32 | 2022-02-18 01:00 미세먼지 데이터를 수집합니다.
2022-02-18 오전 2:06:34 | 2022-02-18 02:00 미세먼지 데이터를 수집합니다.
2022-02-18 오전 3:06:36 | 2022-02-18 03:00 미세먼지 데이터를 수집합니다.
2022-02-18 오전 4:06:39 | 2022-02-18 04:00 미세먼지 데이터를 수집합니다.
2022-02-18 오전 5:06:41 | 2022-02-18 05:00 미세먼지 데이터를 수집합니다.
2022-02-18 오전 6:06:43 | 2022-02-18 06:00 미세먼지 데이터를 수집합니다.
2022-02-18 오전 7:06:46 | 2022-02-18 07:00 미세먼지 데이터를 수집합니다.
2022-02-18 오전 8:06:48 | 2022-02-18 08:00 미세먼지 데이터를 수집합니다.
2022-02-18 오전 9:06:49 | 2022-02-18 09:00 미세먼지 데이터를 수집합니다.
