2022-03-07 오전 11:54:43 | 수집 작업을 시작합니다.
2022-03-07 오후 12:34:44 | 2022-03-07 12:00 미세먼지 데이터를 수집합니다.
2022-03-07 오후 1:04:45 | 2022-03-07 13:00 미세먼지 데이터를 수집합니다.
2022-03-07 오후 2:04:48 | 2022-03-07 14:00 미세먼지 데이터를 수집합니다.
2022-03-07 오후 3:04:51 | 2022-03-07 15:00 미세먼지 데이터를 수집합니다.
2022-03-07 오후 4:04:57 | 2022-03-07 16:00 미세먼지 데이터를 수집합니다.
2022-03-07 오후 5:05:00 | 2022-03-07 17:00 미세먼지 데이터를 수집합니다.
2022-03-07 오후 6:05:05 | 2022-03-07 18:00 미세먼지 데이터를 수집합니다.
2022-03-07 오후 7:05:10 | 2022-03-07 19:00 미세먼지 데이터를 수집합니다.
2022-03-07 오후 8:05:13 | 2022-03-07 20:00 미세먼지 데이터를 수집합니다.
2022-03-07 오후 9:05:18 | 2022-03-07 21:00 미세먼지 데이터를 수집합니다.
2022-03-07 오후 10:05:23 | 2022-03-07 22:00 미세먼지 데이터를 수집합니다.
2022-03-07 오후 11:05:25 | 2022-03-07 23:00 미세먼지 데이터를 수집합니다.
2022-03-08 오전 12:05:28 | 2022-03-07 24:00 미세먼지 데이터를 수집합니다.
2022-03-08 오전 1:05:30 | 2022-03-08 01:00 미세먼지 데이터를 수집합니다.
2022-03-08 오전 2:05:33 | 2022-03-08 02:00 미세먼지 데이터를 수집합니다.
2022-03-08 오전 3:05:35 | 2022-03-08 03:00 미세먼지 데이터를 수집합니다.
2022-03-08 오전 4:05:38 | 2022-03-08 04:00 미세먼지 데이터를 수집합니다.
2022-03-08 오전 5:05:40 | 2022-03-08 05:00 미세먼지 데이터를 수집합니다.
2022-03-08 오전 6:05:42 | 2022-03-08 06:00 미세먼지 데이터를 수집합니다.
2022-03-08 오전 7:05:45 | 2022-03-08 07:00 미세먼지 데이터를 수집합니다.
2022-03-08 오전 8:05:47 | 2022-03-08 08:00 미세먼지 데이터를 수집합니다.
2022-03-08 오전 9:05:50 | 2022-03-08 09:00 미세먼지 데이터를 수집합니다.
2022-03-08 오전 10:05:52 | 2022-03-08 10:00 미세먼지 데이터를 수집합니다.
2022-03-08 오전 11:05:55 | 2022-03-08 11:00 미세먼지 데이터를 수집합니다.
2022-03-08 오후 12:05:57 | 2022-03-08 12:00 미세먼지 데이터를 수집합니다.
2022-03-08 오후 1:06:00 | 2022-03-08 13:00 미세먼지 데이터를 수집합니다.

